2015-01-12,BAX,222,244,11,110,624,4281
2015-01-12,BBT,280,1265,296,4039,3350,2808
2015-01-12,BBT,5561,3731,1990,376,2045,3371
2015-01-12,BDX,37,56,858,525,35,30
2015-01-12,BDX,17,0,0,1023,287,647
2015-01-12,BBBY,25,1242,210,89,245,59
2015-01-12,BBBY,362,602,173,480,2376,347
2015-01-12,BMS,3,232,520
2015-01-12,BMS,,274,47,244
2015-01-12,BRK-B,10,46,83,85,3762,358
2015-01-12,BRK-B,77,2935,36,74,234,146
2015-01-12,BBY,3727,841,4322,2160,15258,210
2015-01-12,BBY,1812,6913,0,3409,247,3103
2015-01-12,BIIB,120,628,281,1957,75,1321
2015-01-12,BIIB,537,37,130,267,417,126
2015-01-12,BLK,33,92,818,407,776,479
2015-01-12,BLK,514,688,38,306,277,551
2015-01-12,BA,343,286,12253,1124,1026,764
2015-01-12,BA,817,289,160,232,647,7048
2015-01-12,BWA,25,0,57,592,2556,2565
2015-01-12,BWA,526,334,92,752,166,1382
2015-01-12,BXP,743,684,103,19,50,10
2015-01-12,BXP,22,6,22,71,64,24
2015-01-12,BSX,2178,8994,11432,2743,137,125
2015-01-12,BSX,379,44,0,6799,21692,7534
2015-01-12,BMY,434,267,3940,15707,154,390
2015-01-12,BMY,304,1,0,60,7,0
2015-01-12,BRCM,12,5715,58,3224,473,5201
2015-01-12,BRCM,1364,348,1460,96,7029,274
2015-01-12,BF-B,0,22,14,3
2015-01-12,BF-B,3,0,0,
2015-01-12,CHRW,1063,1039,394,1399,913,10138
2015-01-12,CHRW,439,61,5,769,583,639
2015-01-12,CA,540,2454,1962,6791,1145,1699
2015-01-12,CA,158,2,0,744,657,1223
2015-01-12,CVC,1380,299,753,2857,2043,3278
2015-01-12,CVC,575,424,43,1293,4981,3267
2015-01-12,COG,5,125,228,865,3682,5314
2015-01-12,COG,6554,3615,1441,99,1994,5310
2015-01-12,CAM,1,8862,9,88,1315,1468
2015-01-12,CAM,354,541,2493,88,654,383
2015-01-12,CPB,0,591,1921,883,1629,935
2015-01-12,CPB,0,617,0,2183,461,472
2015-01-12,COF,517,2478,1328,3528,2139,2368
2015-01-12,COF,2340,1313,1254,1505,1408,1933
2015-01-12,CAH,781,488,728,1315,14,44
2015-01-12,CAH,23,0,0,634,342,420
2015-01-12,CFN,1,0,1
2015-01-12,CFN,1,0,1
2015-01-12,KMX,4215,995,212,477,206,257
2015-01-12,KMX,2100,113,51,782,2271,409
2015-01-12,CCL,16239,6885,5524,8600,875,1656
2015-01-12,CCL,230,18,29,4612,1506,1517
2015-01-12,CAT,3292,366,20,32,1272,75
2015-01-12,CAT,225,4478,27,10813,1090,28
2015-01-12,CBG,13,124,471,513,3056,725
2015-01-12,CBG,4,33,5,258,1525,11
2015-01-12,CBS,259,333,217,21301,1093,707
